input_text,language
Bamboo is very thick and strong.,english
बाँस एकदम बाक्लो र बलियो हुन्छ।,nepali
Bamboo is very thick and strong.,english
बाँस एकदम मोटा आ मजबूत होइत छै।,maithili
"Because of lack of money, he couldn't use pesticide on time.",english
पैसाको अभावले गर्दा उसले समयमा कीटनाशक प्रयोग गर्न सकेन।,nepali
"Because of lack of money, he couldn't use pesticide on time.",english
पैसाक कमीक कारण ओ समय पर कीटनाशक प्रयोग नहि क' सकल।,maithili
Hem Singh Pruthi was a very famous agricultural scientist.,english
हेम सिंह प्रुथी धेरै प्रसिद्ध कृषि वैज्ञानिक थिए।,nepali
Hem Singh Pruthi was a very famous agricultural scientist.,english
हेम सिंह प्रुथी बहुत प्रसिद्ध कृषि वैज्ञानिक छलाह।,maithili
Artificial insemination was used to increase the number of sheep.,english
भेडाको संख्या बढाउन कृत्रिम गर्भाधानको सहायता लिइयो।,nepali
Artificial insemination was used to increase the number of sheep.,english
भेड़क संख्या बढ़ाब'क लेल कृत्रिम गर्भाधानक सहायता लेल गेल।,maithili
Fruit fiber is beneficial for human health.,english
फलको रेशा मान्छेको स्वास्थ्यको लागि लाभदायक हुन्छ।,nepali
Fruit fiber is beneficial for human health.,english
फलक रेशा मनुष्यक स्वास्थ्यक लेल लाभदायक होइत छै।,maithili
Gold production from mines consumes a lot of water.,english
खानीबाट प्राप्त सुन उत्पादनमा पानीको खपत धेरै हुन्छ।,nepali
Gold production from mines consumes a lot of water.,english
खानी सँ प्राप्त सोना उत्पादन मे पानीक खपत बहुत होइत छै।,maithili
The business grew through drinking water.,english
पिउने पानीको माध्यमबाट व्यापारमा वृद्धि भयो।,nepali
The business grew through drinking water.,english
पीबाक पानीक माध्यम सँ व्यापार मे वृद्धि भेल।,maithili
Plastic is laid to preserve moisture.,english
चिस्यान बचाउनको लागि प्लास्टिक ओछ्याइन्छ।,nepali
Plastic is laid to preserve moisture.,english
नमहर बचाब'क लेल प्लास्टिक बिछाओल जाइत छै।,maithili
"In drip irrigation, water is given to the plants drop by drop.",english
ड्रिप सिंचाईमा थोपा थोपा पानी बोटमा दिइन्छ।,nepali
"In drip irrigation, water is given to the plants drop by drop.",english
ड्रिप सिंचाई मे थोपा-थोपा पानी गाछ मे देल जाइत छै।,maithili
