text,input_language,output_language
Bamboo is very thick and strong.,english,nepali
बाँस एकदम बाक्लो र बलियो हुन्छ।,nepali,english
Bamboo is very thick and strong.,english,maithili
बाँस एकदम मोटा आ मजबूत होइत छै।,maithili,english
"Because of lack of money, he couldn't use pesticide on time.",english,nepali
पैसाको अभावले गर्दा उसले समयमा कीटनाशक प्रयोग गर्न सकेन।,nepali,english
"Because of lack of money, he couldn't use pesticide on time.",english,maithili
पैसाक कमीक कारण ओ समय पर कीटनाशक प्रयोग नहि क' सकल।,maithili,english
Hem Singh Pruthi was a very famous agricultural scientist.,english,nepali
हेम सिंह प्रुथी धेरै प्रसिद्ध कृषि वैज्ञानिक थिए।,nepali,english
Hem Singh Pruthi was a very famous agricultural scientist.,english,maithili
हेम सिंह प्रुथी बहुत प्रसिद्ध कृषि वैज्ञानिक छलाह।,maithili,english
Artificial insemination was used to increase the number of sheep.,english,nepali
भेडाको संख्या बढाउन कृत्रिम गर्भाधानको सहायता लिइयो।,nepali,english
Artificial insemination was used to increase the number of sheep.,english,maithili
भेड़क संख्या बढ़ाब'क लेल कृत्रिम गर्भाधानक सहायता लेल गेल।,maithili,english
Fruit fiber is beneficial for human health.,english,nepali
फलको रेशा मान्छेको स्वास्थ्यको लागि लाभदायक हुन्छ।,nepali,english
Fruit fiber is beneficial for human health.,english,maithili
फलक रेशा मनुष्यक स्वास्थ्यक लेल लाभदायक होइत छै।,maithili,english
Gold production from mines consumes a lot of water.,english,nepali
खानीबाट प्राप्त सुन उत्पादनमा पानीको खपत धेरै हुन्छ।,nepali,english
Gold production from mines consumes a lot of water.,english,maithili
खानी सँ प्राप्त सोना उत्पादन मे पानीक खपत बहुत होइत छै।,maithili,english
The business grew through drinking water.,english,nepali
पिउने पानीको माध्यमबाट व्यापारमा वृद्धि भयो।,nepali,english
The business grew through drinking water.,english,maithili
पीबाक पानीक माध्यम सँ व्यापार मे वृद्धि भेल।,maithili,english
Plastic is laid to preserve moisture.,english,nepali
चिस्यान बचाउनको लागि प्लास्टिक ओछ्याइन्छ।,nepali,english
Plastic is laid to preserve moisture.,english,maithili
नमहर बचाब'क लेल प्लास्टिक बिछाओल जाइत छै।,maithili,english
"In drip irrigation, water is given to the plants drop by drop.",english,nepali
ड्रिप सिंचाईमा थोपा थोपा पानी बोटमा दिइन्छ।,nepali,english
"In drip irrigation, water is given to the plants drop by drop.",english,maithili
ड्रिप सिंचाई मे थोपा-थोपा पानी गाछ मे देल जाइत छै।,maithili,english
"To stop forest exploitation, protection from deforestation is necessary.",english,nepali
वनको शोषण रोक्न वन विनाशबाट सुरक्षाको लागि आवश्यक छ।,nepali,english
"To stop forest exploitation, protection from deforestation is necessary.",english,maithili
जंगलक शोषण रोक'क लेल वन विनाश सँ सुरक्षाक लेल आवश्यक छै।,maithili,english
Crop harvesting is done in two ways.,english,nepali
बालीको कटाई दुई तरिकाले हुन्छ।,nepali,english
Crop harvesting is done in two ways.,english,maithili
बालीक कटाई दू तरीका सँ होइत छै।,maithili,english
"With the help of some weeds, plant health increases.",english,nepali
केही झारपातको सहायताले बोटको स्वास्थ्यमा वृद्धि हुन्छ।,nepali,english
"With the help of some weeds, plant health increases.",english,maithili
किछु झारपातक सहायता सँ गाछक स्वास्थ्य मे वृद्धि होइत छै।,maithili,english
